PACKPRICE,sum_of_salesday,Spend,s_date_year,s_date_month,s_date_dayofmonth,sale_pdp,Pampers_sale_rpi,Mamypoko_sale_rpi,Pampers_offer_rpi,Mamypoko_offer_rpi,MerchantCode_number
11.1,92,22.0,2021,7,24,17.1796875,0.0,-0.100600601,0.10483871,-0.018348624,1
11.2,102,17.0,2021,7,25,17.1796875,0.0,-0.100600601,0.096774194,-0.018181818,1
9.9,328,0.0,2021,7,29,17.1796875,0.0,-0.100600601,0.083333333,0.057142857,1
11.1,258,45.0,2021,8,1,17.1796875,0.0,-0.101703407,0.112,0.152671756,1
11.1,152,24.0,2021,8,2,17.1796875,0.0,-0.100600601,0.112,-0.057142857,1
11.1,155,113.0,2021,8,3,17.1796875,0.0,-0.100600601,0.112,-0.057142857,1
11.1,139,50.0,2021,8,4,17.1796875,0.0,-0.100600601,0.112,-0.057142857,1
10.2,151,23.0,2021,8,6,17.1796875,0.0,-0.100600601,0.055555556,-0.00990099,1
11.1,84,24.0,2021,8,15,17.1796875,0.043497173,-0.100600601,0.034782609,-0.018348624,1
10.8,152,0.0,2021,8,17,17.1796875,0.043497173,-0.100600601,0.060869565,0.009174312,1
10.8,145,85.0,2021,8,19,17.1796875,0.0,-0.100600601,0.060869565,0.009174312,1
10.8,97,0.0,2021,8,22,17.1796875,0.043497173,-0.100600601,0.060869565,0.149606299,1
11.1,86,91.0,2021,8,29,17.1796875,0.0,-0.100600601,-0.180851064,-0.018348624,1
11.1,115,99.0,2021,8,30,17.1796875,0.0,-0.100600601,0.112,-0.018348624,1
10.8,191,40.0,2021,9,8,17.1796875,0.0,-0.100600601,0.1,0.009174312,1
10.8,180,85.0,2021,9,10,17.1796875,0.0,-0.100600601,0.1,0.194029851,1
10.8,119,128.0,2021,9,19,17.1796875,0.0,-0.100600601,0.142857143,0.009174312,1
11.1,126,56.0,2021,9,22,17.1796875,0.0,-0.100600601,0.067226891,-0.018348624,1
11.1,91,153.0,2021,9,29,17.1796875,0.0,-0.100600601,0.067226891,-0.018348624,1
11.1,107,154.0,2021,9,30,17.1796875,0.0,-0.100600601,0.067226891,-0.018348624,1
10.8,131,32.0,2021,10,1,17.1796875,0.0,-0.100600601,0.092436975,-0.028571429,1
9.9,272,72.0,2021,10,3,17.1796875,0.0,-0.100600601,0.083333333,0.01980198,1
9.9,325,0.0,2021,10,6,17.1796875,0.0,-0.100600601,0.108108108,0.01980198,1
10.6,189,2308.0,2021,10,11,17.1796875,0.0,-0.100600601,0.045045045,-0.04950495,1
10.6,106,1928.0,2021,10,12,17.1796875,0.0,-0.100600601,0.116666667,-0.04950495,1
10.6,108,242.0,2021,10,21,17.1796875,0.0,-0.100600601,0.053571429,-0.04950495,1
10.6,114,459.0,2021,10,22,17.1796875,0.0,-0.100600601,0.053571429,0.203007519,1
10.5,108,488.0,2021,10,23,17.1796875,0.0,-0.100600601,-0.009615385,-0.03960396,1
9.9,179,191.0,2021,10,27,17.1796875,0.0,-0.100600601,0.116071429,0.255639098,1
11.3,88,268.0,2021,11,18,17.1796875,0.0,-0.100600601,0.13740458,0.246666667,1
10.8,286,565.0,2021,11,20,17.1796875,0.0,-0.100050025,0.142857143,0.228571429,1
10.8,207,506.0,2021,11,21,17.1796875,0.0,-0.100600601,0.142857143,0.228571429,1
11.3,225,438.0,2021,12,4,17.1796875,0.0,-0.100600601,0.058333333,0.192857143,1
11.3,112,467.0,2021,12,6,17.1796875,0.0,-0.100600601,0.096,0.266233766,1
11.3,158,849.0,2021,12,7,17.1796875,0.0,0.0,0.096,0.236486486,1
11.5,116,782.0,2021,12,8,17.1796875,0.0,0.0,0.087301587,0.178571429,1
11.5,138,226.0,2021,12,23,17.1796875,0.0,0.0,-0.017699115,0.238410596,1
11.5,93,489.0,2021,12,26,17.1796875,0.0,-0.137021717,0.122137405,0.238410596,1
11.5,119,655.0,2021,12,28,17.1796875,0.0,0.0,0.122137405,0.243421053,1
10.8,170,728.0,2022,1,1,17.1796875,0.0,-0.113417722,0.162790698,0.298701299,1
10.8,221,299.0,2022,1,4,17.1796875,0.0,0.0,0.162790698,0.298701299,1
11.1,234,671.0,2022,1,9,17.1796875,0.0,-0.102255639,0.10483871,0.288461538,1
11.1,163,668.0,2022,1,13,17.1796875,0.0,0.0,0.177777778,0.288461538,1
10.2,309,766.0,2022,1,17,17.1796875,0.0,0.0,0.177419355,0.286713287,1
10.2,248,443.0,2022,1,21,17.1796875,0.0,0.036974474,0.177419355,0.105263158,1
11.1,303,517.0,2022,1,24,17.1796875,0.043497173,0.036974474,0.177777778,0.026315789,1
11.1,218,680.0,2022,1,26,17.1796875,0.0,0.036974474,0.177777778,0.026315789,1
10.5,225,291.0,2022,1,27,17.1796875,0.0,0.036974474,0.094827586,0.117647059,1
11.1,253,482.0,2022,1,31,17.1796875,0.0,0.036974474,0.177777778,0.279220779,1
11.9,126,637.0,2022,2,3,17.1796875,0.0,0.036974474,0.07751938,0.222222222,1
11.9,129,211.0,2022,2,9,17.1796875,0.0,0.036974474,0.118518519,-0.025862069,1
11.8,89,172.0,2022,2,14,17.1796875,0.0,0.036974474,0.125925926,0.008403361,1
12.4,112,49.0,2022,2,17,17.1796875,0.0,0.036974474,0.081481481,-0.042016807,1
12.4,90,57.0,2022,2,23,17.1796875,0.0,0.036974474,0.081481481,-0.042016807,1
11.1,179,173.0,2022,2,27,17.1796875,0.0,0.036974474,0.090163934,0.067226891,1
11.1,170,258.0,2022,2,28,17.1796875,0.0,0.036974474,0.177777778,0.067226891,1
11.6,144,132.0,2022,3,3,17.1796875,0.0,0.036974474,0.100775194,0.0,1
11.6,132,90.0,2022,3,5,17.1796875,0.0,0.036974474,0.086614173,0.0,1
11.6,156,114.0,2022,3,10,17.1796875,0.0,0.036974474,0.100775194,0.025210084,1
11.2,137,192.0,2022,3,12,17.1796875,0.0,0.036974474,0.118110236,0.034482759,1
11.2,106,87.0,2022,3,14,17.1796875,0.0,0.036974474,0.118110236,0.034482759,1
10.8,205,220.0,2022,3,21,17.1796875,0.0,0.036974474,0.2,0.092436975,1
11.2,158,0.0,2022,3,28,17.1796875,0.0,0.036974474,0.17037037,0.058823529,1
